"Step","zesty-sweep-5 - val_loss","zesty-sweep-5 - val_loss__MIN","zesty-sweep-5 - val_loss__MAX","wobbly-sweep-4 - val_loss","wobbly-sweep-4 - val_loss__MIN","wobbly-sweep-4 - val_loss__MAX","graceful-sweep-3 - val_loss","graceful-sweep-3 - val_loss__MIN","graceful-sweep-3 - val_loss__MAX","astral-sweep-2 - val_loss","gallant-sweep-1 - val_loss","gallant-sweep-1 - val_loss__MIN","gallant-sweep-1 - val_loss__MAX"
"28","2.305161237716675","2.305161237716675","2.305161237716675","1.2124913930892944","1.2124913930892944","1.2124913930892944","2.301368474960327","2.301368474960327","2.301368474960327","NaN","1.2254573106765747","1.2254573106765747","1.2254573106765747"
"58","2.303433418273926","2.303433418273926","2.303433418273926","0.9646952152252197","0.9646952152252197","0.9646952152252197","2.104109287261963","2.104109287261963","2.104109287261963","NaN","1.0418590307235718","1.0418590307235718","1.0418590307235718"
"88","2.3046975135803223","2.3046975135803223","2.3046975135803223","0.8408995866775513","0.8408995866775513","0.8408995866775513","1.8126122951507568","1.8126122951507568","1.8126122951507568","NaN","0.8864849805831909","0.8864849805831909","0.8864849805831909"
"118","2.302779197692871","2.302779197692871","2.302779197692871","0.8634883761405945","0.8634883761405945","0.8634883761405945","1.6334127187728882","1.6334127187728882","1.6334127187728882","NaN","0.8304974436759949","0.8304974436759949","0.8304974436759949"
"148","2.307255744934082","2.307255744934082","2.307255744934082","0.8023465871810913","0.8023465871810913","0.8023465871810913","1.5112388134002686","1.5112388134002686","1.5112388134002686","NaN","0.796218991279602","0.796218991279602","0.796218991279602"
"178","2.3023598194122314","2.3023598194122314","2.3023598194122314","0.8287057876586914","0.8287057876586914","0.8287057876586914","1.4673712253570557","1.4673712253570557","1.4673712253570557","NaN","0.8157851099967957","0.8157851099967957","0.8157851099967957"
"208","2.3028998374938965","2.3028998374938965","2.3028998374938965","0.8632646203041077","0.8632646203041077","0.8632646203041077","1.319493055343628","1.319493055343628","1.319493055343628","NaN","0.7837399840354919","0.7837399840354919","0.7837399840354919"
"239","2.3027424812316895","2.3027424812316895","2.3027424812316895","0.9200119376182556","0.9200119376182556","0.9200119376182556","1.280044436454773","1.280044436454773","1.280044436454773","NaN","0.7918995022773743","0.7918995022773743","0.7918995022773743"
"269","2.3056983947753906","2.3056983947753906","2.3056983947753906","0.933063268661499","0.933063268661499","0.933063268661499","1.2257684469223022","1.2257684469223022","1.2257684469223022","NaN","0.8817921876907349","0.8817921876907349","0.8817921876907349"
"299","2.306838035583496","2.306838035583496","2.306838035583496","1.0359365940093994","1.0359365940093994","1.0359365940093994","1.1613425016403198","1.1613425016403198","1.1613425016403198","NaN","0.900758683681488","0.900758683681488","0.900758683681488"
