"Step","zesty-sweep-5 - train_acc_step","zesty-sweep-5 - train_acc_step__MIN","zesty-sweep-5 - train_acc_step__MAX","wobbly-sweep-4 - train_acc_step","wobbly-sweep-4 - train_acc_step__MIN","wobbly-sweep-4 - train_acc_step__MAX","graceful-sweep-3 - train_acc_step","graceful-sweep-3 - train_acc_step__MIN","graceful-sweep-3 - train_acc_step__MAX","astral-sweep-2 - train_acc_step","astral-sweep-2 - train_acc_step__MIN","astral-sweep-2 - train_acc_step__MAX","gallant-sweep-1 - train_acc_step","gallant-sweep-1 - train_acc_step__MIN","gallant-sweep-1 - train_acc_step__MAX"
"175","0.125","0.125","0.125","0.59375","0.59375","0.59375","0.46875","0.46875","0.46875","0.0625","0.0625","0.0625","0.84375","0.84375","0.84375"
"176","0.15625","0.15625","0.15625","0.875","0.875","0.875","0.5","0.5","0.5","0.15625","0.15625","0.15625","0.8125","0.8125","0.8125"
"177","0","0","0","0.8125","0.8125","0.8125","0.4375","0.4375","0.4375","0.09375","0.09375","0.09375","0.8125","0.8125","0.8125"
"180","0.125","0.125","0.125","0.84375","0.84375","0.84375","0.4375","0.4375","0.4375","0.0625","0.0625","0.0625","0.90625","0.90625","0.90625"
"181","0.125","0.125","0.125","0.75","0.75","0.75","0.375","0.375","0.375","0.09375","0.09375","0.09375","0.8125","0.8125","0.8125"
"182","0.15625","0.15625","0.15625","0.90625","0.90625","0.90625","0.5","0.5","0.5","0.125","0.125","0.125","0.8125","0.8125","0.8125"
"183","0.09375","0.09375","0.09375","0.78125","0.78125","0.78125","0.53125","0.53125","0.53125","0.0625","0.0625","0.0625","0.78125","0.78125","0.78125"
"184","0.125","0.125","0.125","0.9375","0.9375","0.9375","0.59375","0.59375","0.59375","0.09375","0.09375","0.09375","0.84375","0.84375","0.84375"
"185","0.09375","0.09375","0.09375","0.78125","0.78125","0.78125","0.59375","0.59375","0.59375","0.03125","0.03125","0.03125","0.8125","0.8125","0.8125"
"186","0.125","0.125","0.125","0.84375","0.84375","0.84375","0.4375","0.4375","0.4375","0.09375","0.09375","0.09375","0.875","0.875","0.875"
"187","0.09375","0.09375","0.09375","0.8125","0.8125","0.8125","0.625","0.625","0.625","0.0625","0.0625","0.0625","0.8125","0.8125","0.8125"
"188","0.0625","0.0625","0.0625","0.6875","0.6875","0.6875","0.53125","0.53125","0.53125","0.09375","0.09375","0.09375","0.84375","0.84375","0.84375"
"189","0.15625","0.15625","0.15625","0.8125","0.8125","0.8125","0.53125","0.53125","0.53125","0.0625","0.0625","0.0625","0.875","0.875","0.875"
"190","0.09375","0.09375","0.09375","0.8125","0.8125","0.8125","0.5","0.5","0.5","0.125","0.125","0.125","0.78125","0.78125","0.78125"
"191","0.21875","0.21875","0.21875","0.875","0.875","0.875","0.59375","0.59375","0.59375","0.09375","0.09375","0.09375","0.71875","0.71875","0.71875"
"192","0.125","0.125","0.125","0.875","0.875","0.875","0.4375","0.4375","0.4375","0.0625","0.0625","0.0625","0.875","0.875","0.875"
"193","0.09375","0.09375","0.09375","0.90625","0.90625","0.90625","0.53125","0.53125","0.53125","0.03125","0.03125","0.03125","0.78125","0.78125","0.78125"
"194","0.1875","0.1875","0.1875","0.84375","0.84375","0.84375","0.375","0.375","0.375","0.125","0.125","0.125","0.8125","0.8125","0.8125"
"195","0.0625","0.0625","0.0625","0.78125","0.78125","0.78125","0.59375","0.59375","0.59375","0.0625","0.0625","0.0625","0.875","0.875","0.875"
"196","0.09375","0.09375","0.09375","0.84375","0.84375","0.84375","0.53125","0.53125","0.53125","0.09375","0.09375","0.09375","0.8125","0.8125","0.8125"
"197","0.09375","0.09375","0.09375","0.875","0.875","0.875","0.53125","0.53125","0.53125","0.09375","0.09375","0.09375","0.84375","0.84375","0.84375"
"198","0.03125","0.03125","0.03125","0.8125","0.8125","0.8125","0.5625","0.5625","0.5625","0.0625","0.0625","0.0625","0.8125","0.8125","0.8125"
"199","0.1875","0.1875","0.1875","0.71875","0.71875","0.71875","0.65625","0.65625","0.65625","0.09375","0.09375","0.09375","0.78125","0.78125","0.78125"
"200","0.09375","0.09375","0.09375","0.84375","0.84375","0.84375","0.5","0.5","0.5","0.125","0.125","0.125","0.65625","0.65625","0.65625"
"201","0.09375","0.09375","0.09375","0.84375","0.84375","0.84375","0.53125","0.53125","0.53125","0.15625","0.15625","0.15625","0.78125","0.78125","0.78125"
"202","0.21875","0.21875","0.21875","0.8125","0.8125","0.8125","0.53125","0.53125","0.53125","0.0625","0.0625","0.0625","0.71875","0.71875","0.71875"
"203","0.15625","0.15625","0.15625","0.875","0.875","0.875","0.5625","0.5625","0.5625","0.125","0.125","0.125","0.75","0.75","0.75"
"204","0.125","0.125","0.125","0.8125","0.8125","0.8125","0.53125","0.53125","0.53125","0.03125","0.03125","0.03125","0.78125","0.78125","0.78125"
"205","0.1875","0.1875","0.1875","0.78125","0.78125","0.78125","0.5","0.5","0.5","0.15625","0.15625","0.15625","0.71875","0.71875","0.71875"
"206","0.09375","0.09375","0.09375","0.75","0.75","0.75","0.5625","0.5625","0.5625","0.125","0.125","0.125","0.90625","0.90625","0.90625"
"207","0.125","0.125","0.125","0.84375","0.84375","0.84375","0.5625","0.5625","0.5625","0.0625","0.0625","0.0625","0.71875","0.71875","0.71875"
"210","0.0625","0.0625","0.0625","0.84375","0.84375","0.84375","0.59375","0.59375","0.59375","0.0625","0.0625","0.0625","0.90625","0.90625","0.90625"
"211","0.0625","0.0625","0.0625","0.875","0.875","0.875","0.53125","0.53125","0.53125","0.15625","0.15625","0.15625","0.6875","0.6875","0.6875"
"212","0.125","0.125","0.125","0.84375","0.84375","0.84375","0.5","0.5","0.5","0.09375","0.09375","0.09375","0.71875","0.71875","0.71875"
"213","0.15625","0.15625","0.15625","0.875","0.875","0.875","0.40625","0.40625","0.40625","0.1875","0.1875","0.1875","0.875","0.875","0.875"
"214","0.0625","0.0625","0.0625","0.875","0.875","0.875","0.4375","0.4375","0.4375","0.03125","0.03125","0.03125","0.9375","0.9375","0.9375"
"215","0.15625","0.15625","0.15625","0.84375","0.84375","0.84375","0.65625","0.65625","0.65625","0.09375","0.09375","0.09375","0.84375","0.84375","0.84375"
"216","0.09375","0.09375","0.09375","0.875","0.875","0.875","0.59375","0.59375","0.59375","0.03125","0.03125","0.03125","0.78125","0.78125","0.78125"
"217","0.15625","0.15625","0.15625","0.84375","0.84375","0.84375","0.5625","0.5625","0.5625","0.09375","0.09375","0.09375","0.875","0.875","0.875"
"218","0.125","0.125","0.125","0.9375","0.9375","0.9375","0.5625","0.5625","0.5625","0.09375","0.09375","0.09375","0.90625","0.90625","0.90625"
"219","0.0625","0.0625","0.0625","0.78125","0.78125","0.78125","0.46875","0.46875","0.46875","0.125","0.125","0.125","0.84375","0.84375","0.84375"
"220","0.09375","0.09375","0.09375","0.90625","0.90625","0.90625","0.625","0.625","0.625","0.03125","0.03125","0.03125","0.90625","0.90625","0.90625"
"221","0.09375","0.09375","0.09375","0.9375","0.9375","0.9375","0.53125","0.53125","0.53125","0.09375","0.09375","0.09375","0.84375","0.84375","0.84375"
"222","0.03125","0.03125","0.03125","0.96875","0.96875","0.96875","0.40625","0.40625","0.40625","0.125","0.125","0.125","0.8125","0.8125","0.8125"
"223","0.0625","0.0625","0.0625","0.9375","0.9375","0.9375","0.46875","0.46875","0.46875","0","0","0","0.875","0.875","0.875"
"224","0.28125","0.28125","0.28125","0.78125","0.78125","0.78125","0.625","0.625","0.625","0.03125","0.03125","0.03125","0.8125","0.8125","0.8125"
"225","0.09375","0.09375","0.09375","0.875","0.875","0.875","0.40625","0.40625","0.40625","0.0625","0.0625","0.0625","0.90625","0.90625","0.90625"
"226","0.03125","0.03125","0.03125","0.8125","0.8125","0.8125","0.46875","0.46875","0.46875","0.03125","0.03125","0.03125","0.875","0.875","0.875"
"227","0","0","0","0.8125","0.8125","0.8125","0.5","0.5","0.5","0.09375","0.09375","0.09375","0.8125","0.8125","0.8125"
"228","0.03125","0.03125","0.03125","0.78125","0.78125","0.78125","0.5625","0.5625","0.5625","0.09375","0.09375","0.09375","0.71875","0.71875","0.71875"
"229","0.1875","0.1875","0.1875","0.9375","0.9375","0.9375","0.5","0.5","0.5","0.09375","0.09375","0.09375","0.84375","0.84375","0.84375"
"230","0.0625","0.0625","0.0625","0.90625","0.90625","0.90625","0.59375","0.59375","0.59375","0.09375","0.09375","0.09375","0.90625","0.90625","0.90625"
"231","0.15625","0.15625","0.15625","0.875","0.875","0.875","0.65625","0.65625","0.65625","0.1875","0.1875","0.1875","0.625","0.625","0.625"
"232","0.09375","0.09375","0.09375","0.90625","0.90625","0.90625","0.59375","0.59375","0.59375","0.15625","0.15625","0.15625","0.8125","0.8125","0.8125"
"233","0.09375","0.09375","0.09375","0.875","0.875","0.875","0.5","0.5","0.5","0.15625","0.15625","0.15625","0.71875","0.71875","0.71875"
"234","0.15625","0.15625","0.15625","0.9375","0.9375","0.9375","0.59375","0.59375","0.59375","0.03125","0.03125","0.03125","0.8125","0.8125","0.8125"
"235","0.21875","0.21875","0.21875","0.90625","0.90625","0.90625","0.625","0.625","0.625","0.125","0.125","0.125","0.75","0.75","0.75"
"236","0.09375","0.09375","0.09375","0.8125","0.8125","0.8125","0.5","0.5","0.5","0.0625","0.0625","0.0625","0.9375","0.9375","0.9375"
"237","0.21875","0.21875","0.21875","0.78125","0.78125","0.78125","0.625","0.625","0.625","0.09375","0.09375","0.09375","0.875","0.875","0.875"
"238","0.125","0.125","0.125","0.9375","0.9375","0.9375","0.53125","0.53125","0.53125","0.09375","0.09375","0.09375","0.8125","0.8125","0.8125"
"241","0.0625","0.0625","0.0625","0.96875","0.96875","0.96875","0.65625","0.65625","0.65625","0.0625","0.0625","0.0625","0.875","0.875","0.875"
"242","0.125","0.125","0.125","0.9375","0.9375","0.9375","0.59375","0.59375","0.59375","0.15625","0.15625","0.15625","0.90625","0.90625","0.90625"
"243","0.03125","0.03125","0.03125","0.78125","0.78125","0.78125","0.625","0.625","0.625","0.09375","0.09375","0.09375","0.90625","0.90625","0.90625"
"244","0.125","0.125","0.125","0.9375","0.9375","0.9375","0.5","0.5","0.5","0.09375","0.09375","0.09375","0.9375","0.9375","0.9375"
"245","0.0625","0.0625","0.0625","0.875","0.875","0.875","0.625","0.625","0.625","0.125","0.125","0.125","0.875","0.875","0.875"
"246","0.09375","0.09375","0.09375","0.90625","0.90625","0.90625","0.625","0.625","0.625","0.09375","0.09375","0.09375","0.8125","0.8125","0.8125"
"247","0.09375","0.09375","0.09375","0.9375","0.9375","0.9375","0.46875","0.46875","0.46875","0.09375","0.09375","0.09375","0.8125","0.8125","0.8125"
"248","0.125","0.125","0.125","0.78125","0.78125","0.78125","0.6875","0.6875","0.6875","0.09375","0.09375","0.09375","0.84375","0.84375","0.84375"
"249","0.09375","0.09375","0.09375","0.78125","0.78125","0.78125","0.5625","0.5625","0.5625","0.15625","0.15625","0.15625","0.75","0.75","0.75"
"250","0.21875","0.21875","0.21875","0.90625","0.90625","0.90625","0.5625","0.5625","0.5625","0.125","0.125","0.125","0.75","0.75","0.75"
"251","0.125","0.125","0.125","0.8125","0.8125","0.8125","0.65625","0.65625","0.65625","0.15625","0.15625","0.15625","0.8125","0.8125","0.8125"
"252","0.15625","0.15625","0.15625","0.9375","0.9375","0.9375","0.59375","0.59375","0.59375","0.15625","0.15625","0.15625","0.9375","0.9375","0.9375"
"253","0.125","0.125","0.125","1","1","1","0.625","0.625","0.625","0.15625","0.15625","0.15625","0.71875","0.71875","0.71875"
"254","0.15625","0.15625","0.15625","0.8125","0.8125","0.8125","0.65625","0.65625","0.65625","0.09375","0.09375","0.09375","0.8125","0.8125","0.8125"
"255","0.125","0.125","0.125","0.75","0.75","0.75","0.46875","0.46875","0.46875","0.125","0.125","0.125","0.90625","0.90625","0.90625"
"256","0.0625","0.0625","0.0625","0.8125","0.8125","0.8125","0.71875","0.71875","0.71875","0.25","0.25","0.25","0.875","0.875","0.875"
"257","0.125","0.125","0.125","0.8125","0.8125","0.8125","0.46875","0.46875","0.46875","0","0","0","0.75","0.75","0.75"
"258","0.09375","0.09375","0.09375","0.71875","0.71875","0.71875","0.59375","0.59375","0.59375","0.03125","0.03125","0.03125","0.8125","0.8125","0.8125"
"259","0.0625","0.0625","0.0625","0.96875","0.96875","0.96875","0.71875","0.71875","0.71875","0.0625","0.0625","0.0625","0.75","0.75","0.75"
"260","0.0625","0.0625","0.0625","0.75","0.75","0.75","0.625","0.625","0.625","0.09375","0.09375","0.09375","0.90625","0.90625","0.90625"
"261","0.0625","0.0625","0.0625","0.78125","0.78125","0.78125","0.5625","0.5625","0.5625","0.1875","0.1875","0.1875","0.78125","0.78125","0.78125"
"262","0.09375","0.09375","0.09375","0.90625","0.90625","0.90625","0.625","0.625","0.625","0.09375","0.09375","0.09375","0.875","0.875","0.875"
"263","0.09375","0.09375","0.09375","0.84375","0.84375","0.84375","0.59375","0.59375","0.59375","0.03125","0.03125","0.03125","0.90625","0.90625","0.90625"
"264","0.09375","0.09375","0.09375","0.9375","0.9375","0.9375","0.65625","0.65625","0.65625","0.09375","0.09375","0.09375","0.84375","0.84375","0.84375"
"265","0.09375","0.09375","0.09375","0.875","0.875","0.875","0.59375","0.59375","0.59375","0.0625","0.0625","0.0625","0.78125","0.78125","0.78125"
"266","0.03125","0.03125","0.03125","0.84375","0.84375","0.84375","0.5625","0.5625","0.5625","0.0625","0.0625","0.0625","0.71875","0.71875","0.71875"
"267","0.03125","0.03125","0.03125","0.875","0.875","0.875","0.65625","0.65625","0.65625","0.15625","0.15625","0.15625","0.90625","0.90625","0.90625"
"268","0.125","0.125","0.125","1","1","1","0.5625","0.5625","0.5625","0.09375","0.09375","0.09375","0.875","0.875","0.875"
"271","0.125","0.125","0.125","0.96875","0.96875","0.96875","0.625","0.625","0.625","0.09375","0.09375","0.09375","0.78125","0.78125","0.78125"
"272","0.125","0.125","0.125","0.84375","0.84375","0.84375","0.5","0.5","0.5","0.09375","0.09375","0.09375","0.84375","0.84375","0.84375"
"273","0.0625","0.0625","0.0625","0.90625","0.90625","0.90625","0.5625","0.5625","0.5625","0.09375","0.09375","0.09375","0.90625","0.90625","0.90625"
"274","0.03125","0.03125","0.03125","0.84375","0.84375","0.84375","0.5625","0.5625","0.5625","0.09375","0.09375","0.09375","0.875","0.875","0.875"
"275","0.0625","0.0625","0.0625","0.90625","0.90625","0.90625","0.53125","0.53125","0.53125","0.03125","0.03125","0.03125","0.90625","0.90625","0.90625"
"276","0.0625","0.0625","0.0625","0.90625","0.90625","0.90625","0.5625","0.5625","0.5625","0.09375","0.09375","0.09375","0.90625","0.90625","0.90625"
"277","0.09375","0.09375","0.09375","0.84375","0.84375","0.84375","0.53125","0.53125","0.53125","0.0625","0.0625","0.0625","0.90625","0.90625","0.90625"
"278","0.1875","0.1875","0.1875","0.875","0.875","0.875","0.40625","0.40625","0.40625","0.15625","0.15625","0.15625","0.875","0.875","0.875"
"279","0.0625","0.0625","0.0625","0.96875","0.96875","0.96875","0.5625","0.5625","0.5625","0.15625","0.15625","0.15625","0.875","0.875","0.875"
"280","0.09375","0.09375","0.09375","0.84375","0.84375","0.84375","0.6875","0.6875","0.6875","0.125","0.125","0.125","0.75","0.75","0.75"
"281","0.09375","0.09375","0.09375","0.9375","0.9375","0.9375","0.46875","0.46875","0.46875","0.09375","0.09375","0.09375","0.875","0.875","0.875"
"282","0.15625","0.15625","0.15625","0.8125","0.8125","0.8125","0.71875","0.71875","0.71875","0.0625","0.0625","0.0625","0.90625","0.90625","0.90625"
"283","0.09375","0.09375","0.09375","0.9375","0.9375","0.9375","0.53125","0.53125","0.53125","0.09375","0.09375","0.09375","0.8125","0.8125","0.8125"
"284","0.21875","0.21875","0.21875","0.875","0.875","0.875","0.65625","0.65625","0.65625","0.0625","0.0625","0.0625","0.8125","0.8125","0.8125"
"285","0.0625","0.0625","0.0625","0.9375","0.9375","0.9375","0.5","0.5","0.5","0.1875","0.1875","0.1875","0.84375","0.84375","0.84375"
"286","0.125","0.125","0.125","0.8125","0.8125","0.8125","0.5625","0.5625","0.5625","0.09375","0.09375","0.09375","0.78125","0.78125","0.78125"
"287","0","0","0","0.9375","0.9375","0.9375","0.5625","0.5625","0.5625","0.0625","0.0625","0.0625","0.90625","0.90625","0.90625"
"288","0.09375","0.09375","0.09375","0.9375","0.9375","0.9375","0.59375","0.59375","0.59375","0.21875","0.21875","0.21875","0.875","0.875","0.875"
"289","0.1875","0.1875","0.1875","0.75","0.75","0.75","0.59375","0.59375","0.59375","0.09375","0.09375","0.09375","0.84375","0.84375","0.84375"
"290","0.0625","0.0625","0.0625","0.9375","0.9375","0.9375","0.625","0.625","0.625","0","0","0","0.90625","0.90625","0.90625"
"291","0.21875","0.21875","0.21875","0.8125","0.8125","0.8125","0.59375","0.59375","0.59375","0.125","0.125","0.125","0.75","0.75","0.75"
"292","0.09375","0.09375","0.09375","0.875","0.875","0.875","0.78125","0.78125","0.78125","0.03125","0.03125","0.03125","0.84375","0.84375","0.84375"
"293","0.0625","0.0625","0.0625","0.90625","0.90625","0.90625","0.5625","0.5625","0.5625","0","0","0","0.6875","0.6875","0.6875"
"294","0.125","0.125","0.125","0.78125","0.78125","0.78125","0.75","0.75","0.75","0.125","0.125","0.125","0.90625","0.90625","0.90625"
"295","0.125","0.125","0.125","0.875","0.875","0.875","0.65625","0.65625","0.65625","0.125","0.125","0.125","0.84375","0.84375","0.84375"
"296","0.09375","0.09375","0.09375","0.875","0.875","0.875","0.625","0.625","0.625","0.03125","0.03125","0.03125","0.90625","0.90625","0.90625"
"297","0.125","0.125","0.125","0.875","0.875","0.875","0.59375","0.59375","0.59375","0.15625","0.15625","0.15625","0.6875","0.6875","0.6875"
"298","0.0625","0.0625","0.0625","0.78125","0.78125","0.78125","0.59375","0.59375","0.59375","0.03125","0.03125","0.03125","0.875","0.875","0.875"
