"Step","zesty-sweep-5 - train_loss_step","zesty-sweep-5 - train_loss_step__MIN","zesty-sweep-5 - train_loss_step__MAX","wobbly-sweep-4 - train_loss_step","wobbly-sweep-4 - train_loss_step__MIN","wobbly-sweep-4 - train_loss_step__MAX","graceful-sweep-3 - train_loss_step","graceful-sweep-3 - train_loss_step__MIN","graceful-sweep-3 - train_loss_step__MAX","astral-sweep-2 - train_loss_step","astral-sweep-2 - train_loss_step__MIN","astral-sweep-2 - train_loss_step__MAX","gallant-sweep-1 - train_loss_step","gallant-sweep-1 - train_loss_step__MIN","gallant-sweep-1 - train_loss_step__MAX"
"0","2.3229575157165527","2.3229575157165527","2.3229575157165527","2.0103647708892822","2.0103647708892822","2.0103647708892822","2.3099076747894287","2.3099076747894287","2.3099076747894287","2.2833056449890137","2.2833056449890137","2.2833056449890137","2.1053924560546875","2.1053924560546875","2.1053924560546875"
"1","2.305565118789673","2.305565118789673","2.305565118789673","1.8987773656845093","1.8987773656845093","1.8987773656845093","2.2966723442077637","2.2966723442077637","2.2966723442077637","2.266237735748291","2.266237735748291","2.266237735748291","1.966353178024292","1.966353178024292","1.966353178024292"
"2","2.320237159729004","2.320237159729004","2.320237159729004","1.7597146034240723","1.7597146034240723","1.7597146034240723","2.3040173053741455","2.3040173053741455","2.3040173053741455","2.2497804164886475","2.2497804164886475","2.2497804164886475","1.9262535572052002","1.9262535572052002","1.9262535572052002"
"3","2.314584732055664","2.314584732055664","2.314584732055664","1.7328749895095825","1.7328749895095825","1.7328749895095825","2.2973737716674805","2.2973737716674805","2.2973737716674805","2.0061235427856445","2.0061235427856445","2.0061235427856445","1.7410597801208496","1.7410597801208496","1.7410597801208496"
"4","2.299628257751465","2.299628257751465","2.299628257751465","1.679499626159668","1.679499626159668","1.679499626159668","2.304068088531494","2.304068088531494","2.304068088531494","2.2568795680999756","2.2568795680999756","2.2568795680999756","1.786035180091858","1.786035180091858","1.786035180091858"
"5","2.3146092891693115","2.3146092891693115","2.3146092891693115","1.4309512376785278","1.4309512376785278","1.4309512376785278","2.3006410598754883","2.3006410598754883","2.3006410598754883","2.1586427688598633","2.1586427688598633","2.1586427688598633","1.6625404357910156","1.6625404357910156","1.6625404357910156"
"6","2.312959909439087","2.312959909439087","2.312959909439087","1.271948218345642","1.271948218345642","1.271948218345642","2.3062336444854736","2.3062336444854736","2.3062336444854736","2.1678130626678467","2.1678130626678467","2.1678130626678467","1.660913109779358","1.660913109779358","1.660913109779358"
"7","2.301156997680664","2.301156997680664","2.301156997680664","1.7062770128250122","1.7062770128250122","1.7062770128250122","2.304222583770752","2.304222583770752","2.304222583770752","2.1122708320617676","2.1122708320617676","2.1122708320617676","1.2927695512771606","1.2927695512771606","1.2927695512771606"
"8","2.3043737411499023","2.3043737411499023","2.3043737411499023","1.2688390016555786","1.2688390016555786","1.2688390016555786","2.3035802841186523","2.3035802841186523","2.3035802841186523","2.124655246734619","2.124655246734619","2.124655246734619","1.8027281761169434","1.8027281761169434","1.8027281761169434"
"9","2.298994302749634","2.298994302749634","2.298994302749634","1.6874574422836304","1.6874574422836304","1.6874574422836304","2.301234006881714","2.301234006881714","2.301234006881714","2.0392935276031494","2.0392935276031494","2.0392935276031494","1.7672574520111084","1.7672574520111084","1.7672574520111084"
"10","2.3146350383758545","2.3146350383758545","2.3146350383758545","1.696293592453003","1.696293592453003","1.696293592453003","2.3023340702056885","2.3023340702056885","2.3023340702056885","2.0385901927948","2.0385901927948","2.0385901927948","1.7943099737167358","1.7943099737167358","1.7943099737167358"
"11","2.3025765419006348","2.3025765419006348","2.3025765419006348","1.6802574396133423","1.6802574396133423","1.6802574396133423","2.3007211685180664","2.3007211685180664","2.3007211685180664","1.8847581148147583","1.8847581148147583","1.8847581148147583","1.5670654773712158","1.5670654773712158","1.5670654773712158"
"12","2.3186588287353516","2.3186588287353516","2.3186588287353516","1.5510629415512085","1.5510629415512085","1.5510629415512085","2.3034825325012207","2.3034825325012207","2.3034825325012207","2.1011264324188232","2.1011264324188232","2.1011264324188232","1.2633945941925049","1.2633945941925049","1.2633945941925049"
"13","2.304264545440674","2.304264545440674","2.304264545440674","1.5784049034118652","1.5784049034118652","1.5784049034118652","2.30562424659729","2.30562424659729","2.30562424659729","2.0480129718780518","2.0480129718780518","2.0480129718780518","1.2414019107818604","1.2414019107818604","1.2414019107818604"
"14","2.308180332183838","2.308180332183838","2.308180332183838","1.5049974918365479","1.5049974918365479","1.5049974918365479","2.304145574569702","2.304145574569702","2.304145574569702","1.8972318172454834","1.8972318172454834","1.8972318172454834","1.757854700088501","1.757854700088501","1.757854700088501"
"15","2.2909443378448486","2.2909443378448486","2.2909443378448486","1.4570939540863037","1.4570939540863037","1.4570939540863037","2.3030858039855957","2.3030858039855957","2.3030858039855957","1.7425447702407837","1.7425447702407837","1.7425447702407837","1.3552638292312622","1.3552638292312622","1.3552638292312622"
"16","2.3089590072631836","2.3089590072631836","2.3089590072631836","1.2983382940292358","1.2983382940292358","1.2983382940292358","2.2989346981048584","2.2989346981048584","2.2989346981048584","2.068480968475342","2.068480968475342","2.068480968475342","1.2044621706008911","1.2044621706008911","1.2044621706008911"
"17","2.3053719997406006","2.3053719997406006","2.3053719997406006","1.408550500869751","1.408550500869751","1.408550500869751","2.2975010871887207","2.2975010871887207","2.2975010871887207","2.1312472820281982","2.1312472820281982","2.1312472820281982","1.7369710206985474","1.7369710206985474","1.7369710206985474"
"18","2.3081953525543213","2.3081953525543213","2.3081953525543213","1.3545724153518677","1.3545724153518677","1.3545724153518677","2.2987635135650635","2.2987635135650635","2.2987635135650635","2.011802911758423","2.011802911758423","2.011802911758423","1.370776653289795","1.370776653289795","1.370776653289795"
"19","2.298654556274414","2.298654556274414","2.298654556274414","1.4217989444732666","1.4217989444732666","1.4217989444732666","2.3032805919647217","2.3032805919647217","2.3032805919647217","2.324962615966797","2.324962615966797","2.324962615966797","1.4196950197219849","1.4196950197219849","1.4196950197219849"
"20","2.28791880607605","2.28791880607605","2.28791880607605","1.1959924697875977","1.1959924697875977","1.1959924697875977","2.3041250705718994","2.3041250705718994","2.3041250705718994","2.028116226196289","2.028116226196289","2.028116226196289","1.3301583528518677","1.3301583528518677","1.3301583528518677"
"21","2.2889745235443115","2.2889745235443115","2.2889745235443115","1.322874665260315","1.322874665260315","1.322874665260315","2.298821210861206","2.298821210861206","2.298821210861206","1.9655990600585938","1.9655990600585938","1.9655990600585938","1.4906275272369385","1.4906275272369385","1.4906275272369385"
"22","2.3017172813415527","2.3017172813415527","2.3017172813415527","1.2571228742599487","1.2571228742599487","1.2571228742599487","2.3001153469085693","2.3001153469085693","2.3001153469085693","2.3547933101654053","2.3547933101654053","2.3547933101654053","1.349361777305603","1.349361777305603","1.349361777305603"
"23","2.298694610595703","2.298694610595703","2.298694610595703","1.0268218517303467","1.0268218517303467","1.0268218517303467","2.301825761795044","2.301825761795044","2.301825761795044","NaN","","","1.3121130466461182","1.3121130466461182","1.3121130466461182"
"24","2.316476583480835","2.316476583480835","2.316476583480835","1.2385414838790894","1.2385414838790894","1.2385414838790894","2.298558235168457","2.298558235168457","2.298558235168457","NaN","","","1.180422306060791","1.180422306060791","1.180422306060791"
