"Step","zesty-sweep-5 - val_acc","zesty-sweep-5 - val_acc__MIN","zesty-sweep-5 - val_acc__MAX","wobbly-sweep-4 - val_acc","wobbly-sweep-4 - val_acc__MIN","wobbly-sweep-4 - val_acc__MAX","graceful-sweep-3 - val_acc","graceful-sweep-3 - val_acc__MIN","graceful-sweep-3 - val_acc__MAX","astral-sweep-2 - val_acc","astral-sweep-2 - val_acc__MIN","astral-sweep-2 - val_acc__MAX","gallant-sweep-1 - val_acc","gallant-sweep-1 - val_acc__MIN","gallant-sweep-1 - val_acc__MAX"
"28","0.09080000221729279","0.09080000221729279","0.09080000221729279","0.5690000057220459","0.5690000057220459","0.5690000057220459","0.1446000039577484","0.1446000039577484","0.1446000039577484","0.10260000079870224","0.10260000079870224","0.10260000079870224","0.5565999746322632","0.5565999746322632","0.5565999746322632"
"58","0.09040000289678574","0.09040000289678574","0.09040000289678574","0.6618000268936157","0.6618000268936157","0.6618000268936157","0.21580000221729279","0.21580000221729279","0.21580000221729279","0.10260000079870224","0.10260000079870224","0.10260000079870224","0.628000020980835","0.628000020980835","0.628000020980835"
"88","0.09080000221729279","0.09080000221729279","0.09080000221729279","0.7056000232696533","0.7056000232696533","0.7056000232696533","0.3635999858379364","0.3635999858379364","0.3635999858379364","0.10260000079870224","0.10260000079870224","0.10260000079870224","0.6862000226974487","0.6862000226974487","0.6862000226974487"
"118","0.11299999803304672","0.11299999803304672","0.11299999803304672","0.704800009727478","0.704800009727478","0.704800009727478","0.41040000319480896","0.41040000319480896","0.41040000319480896","0.10260000079870224","0.10260000079870224","0.10260000079870224","0.7167999744415283","0.7167999744415283","0.7167999744415283"
"148","0.09080000221729279","0.09080000221729279","0.09080000221729279","0.7336000204086304","0.7336000204086304","0.7336000204086304","0.44600000977516174","0.44600000977516174","0.44600000977516174","0.10260000079870224","0.10260000079870224","0.10260000079870224","0.7268000245094299","0.7268000245094299","0.7268000245094299"
"178","0.10620000213384628","0.10620000213384628","0.10620000213384628","0.730400025844574","0.730400025844574","0.730400025844574","0.47040000557899475","0.47040000557899475","0.47040000557899475","0.10260000079870224","0.10260000079870224","0.10260000079870224","0.7319999933242798","0.7319999933242798","0.7319999933242798"
"208","0.11299999803304672","0.11299999803304672","0.11299999803304672","0.7257999777793884","0.7257999777793884","0.7257999777793884","0.5194000005722046","0.5194000005722046","0.5194000005722046","0.10260000079870224","0.10260000079870224","0.10260000079870224","0.7458000183105469","0.7458000183105469","0.7458000183105469"
"239","0.11299999803304672","0.11299999803304672","0.11299999803304672","0.7271999716758728","0.7271999716758728","0.7271999716758728","0.5464000105857849","0.5464000105857849","0.5464000105857849","0.10260000079870224","0.10260000079870224","0.10260000079870224","0.7401999831199646","0.7401999831199646","0.7401999831199646"
"269","0.11299999803304672","0.11299999803304672","0.11299999803304672","0.7325999736785889","0.7325999736785889","0.7325999736785889","0.5694000124931335","0.5694000124931335","0.5694000124931335","0.10260000079870224","0.10260000079870224","0.10260000079870224","0.734000027179718","0.734000027179718","0.734000027179718"
"299","0.09080000221729279","0.09080000221729279","0.09080000221729279","0.7332000136375427","0.7332000136375427","0.7332000136375427","0.597599983215332","0.597599983215332","0.597599983215332","0.10260000079870224","0.10260000079870224","0.10260000079870224","0.7365999817848206","0.7365999817848206","0.7365999817848206"
