"Step","zesty-sweep-5 - train_acc_epoch","zesty-sweep-5 - train_acc_epoch__MIN","zesty-sweep-5 - train_acc_epoch__MAX","wobbly-sweep-4 - train_acc_epoch","wobbly-sweep-4 - train_acc_epoch__MIN","wobbly-sweep-4 - train_acc_epoch__MAX","graceful-sweep-3 - train_acc_epoch","graceful-sweep-3 - train_acc_epoch__MIN","graceful-sweep-3 - train_acc_epoch__MAX","astral-sweep-2 - train_acc_epoch","astral-sweep-2 - train_acc_epoch__MIN","astral-sweep-2 - train_acc_epoch__MAX","gallant-sweep-1 - train_acc_epoch","gallant-sweep-1 - train_acc_epoch__MIN","gallant-sweep-1 - train_acc_epoch__MAX"
"29","0.0989999994635582","0.0989999994635582","0.0989999994635582","0.445333331823349","0.445333331823349","0.445333331823349","0.1066666692495346","0.1066666692495346","0.1066666692495346","0.17213332653045654","0.17213332653045654","0.17213332653045654","0.4377555549144745","0.4377555549144745","0.4377555549144745"
"59","0.09791111201047897","0.09791111201047897","0.09791111201047897","0.6194000244140625","0.6194000244140625","0.6194000244140625","0.15933333337306976","0.15933333337306976","0.15933333337306976","0.099711112678051","0.099711112678051","0.099711112678051","0.6079778075218201","0.6079778075218201","0.6079778075218201"
"89","0.09984444081783295","0.09984444081783295","0.09984444081783295","0.7013999819755554","0.7013999819755554","0.7013999819755554","0.2844444513320923","0.2844444513320923","0.2844444513320923","0.099711112678051","0.099711112678051","0.099711112678051","0.6851778030395508","0.6851778030395508","0.6851778030395508"
"119","0.0996222198009491","0.0996222198009491","0.0996222198009491","0.7471110820770264","0.7471110820770264","0.7471110820770264","0.3803333342075348","0.3803333342075348","0.3803333342075348","0.099711112678051","0.099711112678051","0.099711112678051","0.7304666638374329","0.7304666638374329","0.7304666638374329"
"149","0.10213333368301392","0.10213333368301392","0.10213333368301392","0.777999997138977","0.777999997138977","0.777999997138977","0.4324444532394409","0.4324444532394409","0.4324444532394409","0.099711112678051","0.099711112678051","0.099711112678051","0.7630444169044495","0.7630444169044495","0.7630444169044495"
"179","0.09842222183942795","0.09842222183942795","0.09842222183942795","0.8045777678489685","0.8045777678489685","0.8045777678489685","0.47197777032852173","0.47197777032852173","0.47197777032852173","0.099711112678051","0.099711112678051","0.099711112678051","0.7908444404602051","0.7908444404602051","0.7908444404602051"
"209","0.101133331656456","0.101133331656456","0.101133331656456","0.8308444619178772","0.8308444619178772","0.8308444619178772","0.5062222480773926","0.5062222480773926","0.5062222480773926","0.099711112678051","0.099711112678051","0.099711112678051","0.8116222023963928","0.8116222023963928","0.8116222023963928"
"240","0.10042222589254379","0.10042222589254379","0.10042222589254379","0.852222204208374","0.852222204208374","0.852222204208374","0.5423555374145508","0.5423555374145508","0.5423555374145508","0.099711112678051","0.099711112678051","0.099711112678051","0.8311777710914612","0.8311777710914612","0.8311777710914612"
"270","0.10206666588783264","0.10206666588783264","0.10206666588783264","0.8681111335754395","0.8681111335754395","0.8681111335754395","0.5716666579246521","0.5716666579246521","0.5716666579246521","0.099711112678051","0.099711112678051","0.099711112678051","0.8480222225189209","0.8480222225189209","0.8480222225189209"
"300","0.10144444555044174","0.10144444555044174","0.10144444555044174","0.8875333070755005","0.8875333070755005","0.8875333070755005","0.6007111072540283","0.6007111072540283","0.6007111072540283","0.099711112678051","0.099711112678051","0.099711112678051","0.8644444346427917","0.8644444346427917","0.8644444346427917"
