"Step","zesty-sweep-5 - train_loss_epoch","zesty-sweep-5 - train_loss_epoch__MIN","zesty-sweep-5 - train_loss_epoch__MAX","wobbly-sweep-4 - train_loss_epoch","wobbly-sweep-4 - train_loss_epoch__MIN","wobbly-sweep-4 - train_loss_epoch__MAX","graceful-sweep-3 - train_loss_epoch","graceful-sweep-3 - train_loss_epoch__MIN","graceful-sweep-3 - train_loss_epoch__MAX","astral-sweep-2 - train_loss_epoch","gallant-sweep-1 - train_loss_epoch","gallant-sweep-1 - train_loss_epoch__MIN","gallant-sweep-1 - train_loss_epoch__MAX"
"29","2.305820941925049","2.305820941925049","2.305820941925049","1.5060853958129883","1.5060853958129883","1.5060853958129883","2.302297592163086","2.302297592163086","2.302297592163086","NaN","1.5300211906433105","1.5300211906433105","1.5300211906433105"
"59","2.303985834121704","2.303985834121704","2.303985834121704","1.0639991760253906","1.0639991760253906","1.0639991760253906","2.2713916301727295","2.2713916301727295","2.2713916301727295","NaN","1.0940080881118774","1.0940080881118774","1.0940080881118774"
"89","2.304034471511841","2.304034471511841","2.304034471511841","0.8460582494735718","0.8460582494735718","0.8460582494735718","1.9500479698181152","1.9500479698181152","1.9500479698181152","NaN","0.8932358622550964","0.8932358622550964","0.8932358622550964"
"119","2.303844928741455","2.303844928741455","2.303844928741455","0.7200523018836975","0.7200523018836975","0.7200523018836975","1.7068616151809692","1.7068616151809692","1.7068616151809692","NaN","0.7670674324035645","0.7670674324035645","0.7670674324035645"
"149","2.3037521839141846","2.3037521839141846","2.3037521839141846","0.628288209438324","0.628288209438324","0.628288209438324","1.5576655864715576","1.5576655864715576","1.5576655864715576","NaN","0.6719067692756653","0.6719067692756653","0.6719067692756653"
"179","2.3041417598724365","2.3041417598724365","2.3041417598724365","0.5489259958267212","0.5489259958267212","0.5489259958267212","1.4578810930252075","1.4578810930252075","1.4578810930252075","NaN","0.5971640348434448","0.5971640348434448","0.5971640348434448"
"209","2.303924560546875","2.303924560546875","2.303924560546875","0.47853538393974304","0.47853538393974304","0.47853538393974304","1.370447039604187","1.370447039604187","1.370447039604187","NaN","0.5322256088256836","0.5322256088256836","0.5322256088256836"
"240","2.3039979934692383","2.3039979934692383","2.3039979934692383","0.4153193235397339","0.4153193235397339","0.4153193235397339","1.2841217517852783","1.2841217517852783","1.2841217517852783","NaN","0.4794086813926697","0.4794086813926697","0.4794086813926697"
"270","2.303957223892212","2.303957223892212","2.303957223892212","0.3646796941757202","0.3646796941757202","0.3646796941757202","1.2030613422393799","1.2030613422393799","1.2030613422393799","NaN","0.42985400557518005","0.42985400557518005","0.42985400557518005"
"300","2.3038740158081055","2.3038740158081055","2.3038740158081055","0.3121502995491028","0.3121502995491028","0.3121502995491028","1.129591941833496","1.129591941833496","1.129591941833496","NaN","0.38237062096595764","0.38237062096595764","0.38237062096595764"
